product_id,code,name,cached_stock,actual_stock,difference,status,issue
77,3337875583626,LRP HYALU B5 SERUM 30ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
78,3337872411083,LRP EFFACLAR GEL MOUSS T200ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
79,3337875548519,LRP CICAPLAST GEL LAVANT B5 200ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
80,3337872418785,LRP LIPIKAR GEL LAVANT 400ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
81,3337875797719,LRP ANT UVMUNE ULTCR SP50+ T50ML,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
82,3337875546430,LRP ANT UVMUNE OILCONT. GEL-CREME SPF50+T50ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
83,3337875876940,LRP CICAPLAST BALM B5 SPF50+ T40ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
84,3337875578486,LRP TOLERIANE SENSITIVE CREME T40ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
85,3337872412158,LRP DEO PHYSIO BILLE 50ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
86,3337875890113,LRP MELA B3 SOIN SPF30 40ML,10.0,3.0,-7.0,MISMATCH,CACHE_MISMATCH
87,3337875763790,LRP LIPIKAR BAUME AP+M 200ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
88,3337875696838,LRP ANT SPRAY AP 50+ F200ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
89,3337875797597,LRP ANT UVMUNE FLU SP50+ T50ML,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
90,30070349,LRP NUTRITIC STICK LEVRE 4.7ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
91,3337875909235,LRP PURE VIT C12 SERUM 30ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
